"full_text";"location";"username"
"@BudiantoBu56333 @ivan_mohc @Hamaspesek PBB aja dibilang hoax sama orang-orang tolol lokal yg islamphobia pokoknya yg real cuma Abu Janda aja sama pengurus PBNU infonya ";;"Tuah_Raya"
"@Arivrahmanovic @slump_76 @Generasi_MudaNU @muhammadiyah @PBNU_164 Otak buthek bin dangkal ";;"AlAlghazza"
"Ditanyakan saja ke PBNU. Karena sikap pemerintah itu jelas sesuai pembukaan UUD 1945. Jelas sekali. Jadi tolong ditanyakan ke PBNU kata Jokowi. | ";;
"@tanyakanrl Isi Permintaan Maaf PBNU Terkait Lima Nahdliyin Bertemu Presiden Israel Viral di Media Sosial Gus Yahya: Ini Tidak Patut.... https://t.co/FX34huLRnq";"Indonesia";"SibinWatchDog"
"@Sam_Ardi Supoyo panas gawe twit seng ngancam2 PBNU koyo wingi Sam. Mesti panas tur rame. Nek kata² mutiara biasane ga pati onok seng komen.";;"AliKarimi_23"
"@VIVAcoid Lima tokoh muda NU akan diusut oleh PBNU saya rasa hanya untuk menenangkan gejolak di masyarakat karena mustahil 5 tokoh muda itu bergerak atas inisiatif mereka sendiri tanpa ada koordinasi terlebih dahulu dengan PBNU.";;"Bagol91375512"
"Kalo mereka memang mencatut nama NU harusnya dipenjarakan. Kalo ketua penuh malah membela mereka dg alasan blm cukup umur maafkanlah artinya pbnu merestui !";;"gurutua7"
"@kretekmantab @msaid_didu KALAU KADER SEPERTI INI TIDAK DIPECAT MEMANG MEREKA BERANGKAT SEPENGETAHUAN PENGURUS PBNU.";;"AkuanBudiman"
"@Metro_TV Jawabannya setiap Pejabat PBNU ngawur dan nyeleneh... beda beda semua....hahahaha";"Penjaringan, Indonesia";"dedeesetyaa"
"Tol Laut Pelni Tak Sekadar Turunkan Biaya Logistik. Yati Onad Pagii PBNU Samsung A35 Muhammadiyah https://t.co/8Jar07SHM4";;"izzatyindrasti"
"@lilaccountz PBNU gapeduli mba mereka lebih peduli CITRA NU yg dirusak..";"Jakarta timur";"new_mo_imron"
"@dawiguna @Generasi_MudaNU Yg perlu lu tanyain tuh PBNU nya ini kejadian kader NU kesana bukan sekali loh? Dongok lu";"Surabaya";"cicakganteng"
"Pertama sepatutnya saya mohon maaf kepada masyarakat luas seluruhnya. Bahwa ada beberapa orang dari kalangan Nahdlatul Ulama yang tempo hari pergi ke Israel melakukan engagement di sana ujar Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Yahya Cholil Staquf | ";;
"@zer0failed KECOAK KECOAK PERUSAK NAMA BESAR PBNU.";;"AkuanBudiman"
"Gimana ini guusss gusss @YahyaCStaquf PBNU perlu evaluasi total mulai dari nilai-nilai luhur tujuan organisasi nilai moril hingga level tata kelola manajemen Jangan sampai kebodohan pengurus menyakiti Nahdliyyin garis lurus. Dan akhirnya musuh NU bersorak gembira https://t.co/dD3LeJMFtJ";"Bandung";"oemarjabaril"
"@benkbenkkkkk @Zeent29 @slump_76 @Generasi_MudaNU @muhammadiyah @PBNU_164 Kalau lu pinter setidaknya mau beradu argumentasi gak cuman nyocot gak jelas menyedihkan sekali hidupmu cil";"Islamabad, Pakistan";"Arivrahmanovic"
"Jelas ini namanya mata-mata asing kok dibiarkan negara bahkan ketua PBNU mengatakan dulu dirinya ke Israel untuk urusan pribadi. Jadi kurang jelas apalagi ini namanya. Kalau di negara lain pasti sudah diamankan oleh intelijen negara yang seperti ini. Di Wakanda kok dibiarin �? https://t.co/xalkNGFkvO";"Kota Jambi, Jambi";"AdePhanay"
"@AraituLaki Ketua PBNU aja minta maaf karena yg dilakukan kadernya salah kok bisa orang luar NU muji dan bilang cerdas ";;"skynight002"
"PKB soal PBNU Sanksi 5 Kader Terkait Israel: Publik Tahu Akan Nilai https://t.co/GoYcIUDdM0";;"CNNIndonesia"
"Ketum PBNU Tegaskan Organisasi RAHIM untuk Lepas Logo NU https://t.co/ZlErC7qTac lewat @Keuangan News https://t.co/2oJI5uEUQt";;"keuangannews_id"
"@NovalAssegaf Dari dulu NU pro israel. Mantan ketua umum PBNU saja ketika jd presiden wacanakan membuka diplomasi dg israel dan ikut yayasan shimon peres";;"ikebane87280459"
"@YahyaCStaquf baiknya ngurus tambang saja .. @NUgarislucu yang urus NU lebih manthabb https://t.co/XSjIwqScZN PBNU menyampaikan permintaan maaf usai Nahdliyin temui Presiden Israel Isaac Herzog. PBNU juga mengungkap 'dalang' di balik terjadinya pertemuan ";"Bantul, Indonesia";"Sigitsoenoto"
"@pringadi_as Mungkin itu bedanya om NU itu ada kultural dan ada struktural yang kultural ini kadang gak peduli ama struktural. Makanya meski yang ngaku NU puluhan juta pemilih PKB gak sebanyak itu. Kakek gw ngaku NU tapi kalau ditanya ketua PBNU siapa bel";"127.0.0.1";"TukangParaf"
"Disisi lain segelintir orang dari organisasi keIslaman di Indonesia ketawa ketiwi bersama pemimpin pembunuh Netanyahu United PBNU ";;
"pie jal cc. @gusmusgusmu @YahyaCStaquf @PBNU1926 @billmarsudi @DakwahPBNU @Lakpesdam_PBNU https://t.co/0pGCbiam27";;"RinduBae_Wish"
"@alisyarief ketua PBNU yg ini berbeda dgn ketua² terdahulu...";"Jakarta Capital Region, Indone";"DermagaGarely"
"Ketum PBNU Minta Maaf Terkait 5 Nahdliyin Bertemu Presiden Israel https://t.co/wFumSSaHFo";"Karawang";"infoka_id"
"@Generasi_MudaNU Dulu pak Yahya jg pernah kan ke Israel.. Mungkin mereka yg ke Israel minta dukungan biar bs terpilih jd Ketum PBNU spt pak Yahya.. Who knows..";"Bekasi - Indonesia";"Gatsme"
"Jangan cuma omdo mereka tercatat org NU dan punya attribute lengkap NU... kalau emang gentle proses hukum secepatnya... Yakin NU/ PBNU punya keberanian?????";;"Robbyarr24"
"@5teV3n_Pe9eL ketua PBNU saat ini berbeda dgn ketua²nya terdahulu yg kharismatik dan di segani...";"Jakarta Capital Region, Indone";"DermagaGarely"
"@NovalAssegaf Pribadi kenapa pas jadi ketua PBNU apa masih kurang subsidi dari pemerintah ?";;"Pecel_Lele5678"
"Ketua PBNU Minta Maaf Ungkap Dalang yang Ajak 5 Pengurus NU Bertemu Presiden Israel https://t.co/nbGFkykvpo";"Indonesia";"MSNindonesia"
"PBNU Beri Sanksi ke 5 Anggotanya yang Bertemu Presiden Israel https://t.co/0CbwP7y2Ze";"Jakarta";"BloombergTZ"
"Yahya Tegaskan Semua Kerja Sama Internasional NU Mesti Diketahui PBNU https://t.co/ncz9Ok4HRX";;"CNNIndonesia"
"@CNNIndonesia PBNU selama ini blm pernah ada manfaat buat umat kecuali buat yg ingin menjabat";"0 cm dari hati mu";"zedd_mza"
"@muchlis_ar Propaganda israel terus gencar seakan akan tindakan merampas tanah rakyat Palestina benar dan yg melawan disebut teroris. Mereka mencari yg mudah dipengaruhi dibayar dan dikasih daging/tulang lalu jadilah buzzerp yg siap endorse. Rafah PBNU";;"BeekeeperIndo"
"Kok bisa ya jadi ketua PBNU dg Allah SWT saja tidak takut nauzubillahminjalik";;"AgusPan49950683"
"Bubarkan PBNU atau pecat Yahya?? Mana yg lebih baik??";;"ucoxregar"
"@KompasTV Bah... Manusia kera ketemu manusia terkutuk dari Indonesia... Siapa yg mengkader 5 org hewan terkutuk itu utk ketemu presiden manusia kera? Ya pastilah manusia terkutuk ketua Nyetayahu United.. @PBNU1926 @PBNU_164 https://t.co/zbzHjqBwcj";"Indonesia";"mariadi63425147"
"Hai PBNU... 5 Kera Cendikiawan Kalian Benar2 Pengkhianat Konstitusi NKRI. NIR EMPATI Terhadap Penderitaan Rakyat Palestina. Dengan Sombongnya Kera2 Cendikiawan Kalian Bersahabat Dengan Penjajah Zionist Laknatullah. Muhammadiyah Musuh NU https://t.co/evaPN0EB2D";;"MamanPiyul"
